Localizacao;Id;Titulo;IsDeleted;CreatedAt;CreatedBy;UpdatedAt;UpdatedBy;Titulo;Localizacao;Propriedade;IsDisponivel;LivroAutorId;LivroGeneroId
1776;0d0cf53a-6353-1e80-065a-e368be710d67;REVERTENDO FRACASSOS EM ESPERANCA;f;2022-05-18 19:21:21.359743;1e526008-75f7-4a01-9942-d178f2b38888;2022-06-01 14:14:55.099438;e530b7d1-75cf-42d6-9567-51ba55c5e34c;REVERTENDO FRACASSOS EM ESPERANCA;1776;PRC;t;96d64da9-312b-68d0-4921-4db1cc980f43;6ddc0484-26b7-951d-5866-83539b572615
2003;1d5e9116-96bc-0bf4-8a1a-9c4d017fa710;REGIME FECHADO;t;2022-05-18 19:21:21.359743;1e526008-75f7-4a01-9942-d178f2b38888;2022-06-01 14:14:55.099434;e530b7d1-75cf-42d6-9567-51ba55c5e34c;REGIME FECHADO;2003;PRC;t;33e28791-4862-55a7-35c6-486ade596e95;f0463958-a4fd-544f-5957-6b1f1f5e6b29
732;019b1559-5e6a-08fa-7449-e50a67ec1250;SAUDE E ESPIRITUALIDADE;f;2022-05-18 19:21:21.359743;1e526008-75f7-4a01-9942-d178f2b38888;2022-06-01 14:14:55.099447;e530b7d1-75cf-42d6-9567-51ba55c5e34c;SAUDE E ESPIRITUALIDADE;732;PRC;t;ac05716d-1b86-080a-5a9d-bed7c9261978;6ddc0484-26b7-951d-5866-83539b572615
1186;02d7dd11-1234-4aaa-693a-81b50c3757b7;SILENCIADAS;f;2022-05-18 19:21:21.359743;1e526008-75f7-4a01-9942-d178f2b38888;2022-06-01 14:14:55.099458;e530b7d1-75cf-42d6-9567-51ba55c5e34c;SILENCIADAS;1186;PRC;t;66b2e079-4910-0308-11d6-862ee14d8ac1;68674d63-2e40-a644-07c9-e72d8e200c9e
275;2710d99a-2e1d-80d5-4cdd-57ebe80b669b;SHIBUMI;t;2022-05-18 19:21:21.359743;1e526008-75f7-4a01-9942-d178f2b38888;2022-06-01 14:14:55.099457;e530b7d1-75cf-42d6-9567-51ba55c5e34c;SHIBUMI;275;PRC;t;e2b00a30-a6a3-7ba8-4991-ef57edd76f02;68674d63-2e40-a644-07c9-e72d8e200c9e
155;0b526069-0ccd-444f-9c17-1396b0bd2c80;SONHOS DISPERSOS;t;2022-05-18 19:21:21.359743;1e526008-75f7-4a01-9942-d178f2b38888;2022-06-01 14:14:55.099463;e530b7d1-75cf-42d6-9567-51ba55c5e34c;SONHOS DISPERSOS;155;PRC;t;2168b48a-1c1e-9612-568b-3047427334df;eb15223e-0bbb-7e29-536d-fb87c05c6914
2347;397203a5-a68e-3376-02b4-426d53ca2f71;O BISPO;f;2022-05-18 19:21:21.359743;1e526008-75f7-4a01-9942-d178f2b38888;2022-06-01 14:14:55.0995;e530b7d1-75cf-42d6-9567-51ba55c5e34c;O BISPO;2347;PRC;t;e3a669c8-3002-7371-9da0-911ca7620ed0;7031c524-83df-350d-77db-3706038d7363
2876;0c573e8a-4ee1-a5ea-27f6-337c4dca175a;VIVER UM GRANDE AMOR;f;2022-05-18 19:21:21.359743;1e526008-75f7-4a01-9942-d178f2b38888;2022-06-01 14:14:55.099619;e530b7d1-75cf-42d6-9567-51ba55c5e34c;VIVER UM GRANDE AMOR;2876;CEJA;t;efcdc8b5-73dd-3a35-2291-8acbc67e50e8;c68ca414-566e-8a6c-54cf-10dc568d4a6f
2925;0f811e29-6d3f-74e5-7b20-cc0d9b5600e0;O FANTASMA DE CANTERVILLE;f;2022-05-18 19:21:21.359743;1e526008-75f7-4a01-9942-d178f2b38888;2022-06-01 14:14:55.09963;e530b7d1-75cf-42d6-9567-51ba55c5e34c;O FANTASMA DE CANTERVILLE;2925;CEJA;t;8c591d30-8aea-981b-7e6f-373b8f627e8a;c68ca414-566e-8a6c-54cf-10dc568d4a6f
3386;01d28553-6543-526e-7c41-a3a8c126487d;A ESCOLA DOS ROBINSONS;t;2022-05-18 19:21:21.359743;1e526008-75f7-4a01-9942-d178f2b38888;2022-06-01 14:14:55.099724;e530b7d1-75cf-42d6-9567-51ba55c5e34c;A ESCOLA DOS ROBINSONS;3386;PRC;t;d1717006-9842-751e-30a7-f19792493124;c68ca414-566e-8a6c-54cf-10dc568d4a6f
4204;09b0371a-8571-896a-0103-ce8ac1a259b9;DESENVOLVIMENTO E DEMORACIA;f;2022-05-18 19:21:21.359743;1e526008-75f7-4a01-9942-d178f2b38888;2022-06-01 14:14:55.09988;e530b7d1-75cf-42d6-9567-51ba55c5e34c;DESENVOLVIMENTO E DEMORACIA;4204;PRC;t;8b97c97b-25eb-1640-03e4-357b9432a3ad;96abf6cd-3a48-0b84-345c-611565e710e8
4286;00ff55e5-14cc-1442-8faa-384412bf0b2d;GOTHAM SAMPA CITY;f;2022-05-18 19:21:21.359743;1e526008-75f7-4a01-9942-d178f2b38888;2022-06-01 14:14:55.099896;e530b7d1-75cf-42d6-9567-51ba55c5e34c;GOTHAM SAMPA CITY;4286;PRC;t;11b8d9a4-25af-3eb3-49f3-ad3186ca3f3b;c68ca414-566e-8a6c-54cf-10dc568d4a6f
2782;001ec3b7-74f2-3e45-714f-d3d7223155e7;O PRINCIPE DE NASSAU;t;2022-05-18 19:21:21.359743;1e526008-75f7-4a01-9942-d178f2b38888;2022-06-01 14:14:55.099598;e530b7d1-75cf-42d6-9567-51ba55c5e34c;O PRINCIPE DE NASSAU;2782;CEJA;t;20bb31f3-2d09-1758-724b-d2a5a2e37501;c68ca414-566e-8a6c-54cf-10dc568d4a6f
4093;003da1a9-4250-76dc-16f3-eeb87ab87665;O GRANDE MENTECAPTO;f;2022-05-18 19:21:21.359743;1e526008-75f7-4a01-9942-d178f2b38888;2022-06-01 14:14:55.099858;e530b7d1-75cf-42d6-9567-51ba55c5e34c;O GRANDE MENTECAPTO;4093;PRC;t;9f052853-2577-604a-05b2-d950cb19604a;68674d63-2e40-a644-07c9-e72d8e200c9e
